state_code,state_name,state,year,circuit,n_litigate,n_litigate2,judicial_fte_share,judicial_pay_share,nominate_p50_pres,nominate_p50_cngr,nominate_avg_pres,nominate_avg_cngr,pop_total,congress,circ_rep_share,sg_experience,sg_t14_grad,sg_clerk_scotus,sg_clerk_dc,ag_num,ag_higher_office,ag_tenure,sg_clerk,ln_pop_total,ln_sg_experience,ln_ag_tenure,admin,dem_pres,trumpian,nominate_p50_pres2,nominate_avg_pres2,nominate_p50_cngr2,nominate_avg_cngr2,judicial_fte_share2,judicial_pay_share2
01,Alabama,AL,2001,11,1,1,4.105185747497272,4.675378640998367,84.65,70.15,84.65,62.87777777777778,4467634,107,50.58530510585305,7.833333333333333,83.33333333333334,50,0,4,33.33333333333333,5.75,50,15.312369519969925,2.0583881324820035,1.749199854809259,"Bush, Jr.",0,0,84.65,84.65,70.15,62.87777777777778,4.105185747497272,4.675378640998367
01,Alabama,AL,2002,11,0,0,4.088941774869049,4.427624688897569,84.65,70.15,84.65,62.87777777777778,4480089,107,54.54545454545454,7.833333333333333,83.33333333333334,50,0,4,33.33333333333333,5.75,50,15.315153470265269,2.0583881324820035,1.749199854809259,"Bush, Jr.",0,0,84.65,84.65,70.15,62.87777777777778,4.088941774869049,4.427624688897569
01,Alabama,AL,2003,11,0,0,4.000327416450338,4.557237113872203,84.65,69.35,84.65,64.11666666666666,4503491,108,54.54545454545454,7.833333333333333,83.33333333333334,50,0,4,33.33333333333333,5.75,50,15.320363431758285,2.0583881324820035,1.749199854809259,"Bush, Jr.",0,0,84.65,84.65,69.35,64.11666666666666,4.000327416450338,4.557237113872203
01,Alabama,AL,2004,11,0,0,3.4793979940920288,4.243756868678491,84.65,69.35,84.65,64.11666666666666,4530729,108,57.815863553568484,7.833333333333333,83.33333333333334,50,0,4,33.33333333333333,5.75,50,15.32639341166415,2.0583881324820035,1.749199854809259,"Bush, Jr.",0,0,84.65,84.65,69.35,64.11666666666666,3.4793979940920288,4.243756868678491
01,Alabama,AL,2005,11,0,0,3.7562702170549898,4.1817025418117,84.65,69.35,84.65,64.11666666666666,4569805,109,58.333333333333336,7.833333333333333,83.33333333333334,50,0,4,33.33333333333333,5.75,50,15.33498109237577,2.0583881324820035,1.749199854809259,"Bush, Jr.",0,0,84.65,84.65,69.35,64.11666666666666,3.7562702170549898,4.1817025418117
01,Alabama,AL,2006,11,0,0,3.9379040869248914,4.480334532006261,84.65,69.35,84.65,64.11666666666666,4628981,109,58.333333333333336,7.833333333333333,83.33333333333334,50,0,4,33.33333333333333,5.75,50,15.347847315446764,2.0583881324820035,1.749199854809259,"Bush, Jr.",0,0,84.65,84.65,69.35,64.11666666666666,3.9379040869248914,4.480334532006261
01,Alabama,AL,2007,11,1,1,4.0093887177403875,4.598881522358986,84.65,69.35,84.65,64.11666666666666,4672840,110,58.333333333333336,7.833333333333333,83.33333333333334,50,0,4,33.33333333333333,5.75,50,15.357277581849651,2.0583881324820035,1.749199854809259,"Bush, Jr.",0,0,84.65,84.65,69.35,64.11666666666666,4.0093887177403875,4.598881522358986
01,Alabama,AL,2008,11,0,0,4.02544267572885,4.248293116005121,84.65,69.35,84.65,64.11666666666666,4718206,110,58.333333333333336,7.833333333333333,83.33333333333334,50,0,4,33.33333333333333,5.75,50,15.36693920056546,2.0583881324820035,1.749199854809259,"Bush, Jr.",0,0,84.65,84.65,69.35,64.11666666666666,4.02544267572885,4.248293116005121
01,Alabama,AL,2009,11,1,1,3.386723596409849,3.116304681416695,32.1,69.05,32.1,63.33,4757938,111,63.20049813200498,7.833333333333333,83.33333333333334,50,0,4,33.33333333333333,5.75,50,15.375324939074979,2.0583881324820035,1.749199854809259,Obama,1,0,32.1,32.1,69.05,63.33,3.386723596409849,3.116304681416695
01,Alabama,AL,2010,11,1,4,3.9427882898964657,4.20174534819939,32.1,69.05,32.1,63.33,4785514,111,57.42839352428394,7.833333333333333,83.33333333333334,50,0,4,33.33333333333333,5.75,50,15.381103996117947,2.0583881324820035,1.749199854809259,Obama,1,0,32.1,32.1,69.05,63.33,3.9427882898964657,4.20174534819939
